City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,bayanhongor,46.7167,100.1167,-21.31,85,20,1.8,MN,1699394581
199,monterey,36.2505,-121.2516,16.61,37,1,6.73,US,1699394581
200,morehead city,34.7229,-76.726,23.03,78,0,5.66,US,1699394286
201,dunedin,-45.8742,170.5036,11.56,77,86,1.79,NZ,1699394335
202,enewetak,11.3474,162.3373,28.38,74,64,8.31,MH,1699394582
203,grimstad,58.3405,8.5934,2.95,86,84,3.52,NO,1699394582
204,piterka,50.6803,47.4454,7.77,91,32,5.66,RU,1699394582
205,susuman,62.7833,148.1667,-26.18,99,100,0.67,RU,1699394583
206,san luis,-33.295,-66.3356,26.0,18,34,10.83,AR,1699394292
207,trujillo,-8.116,-79.03,19.98,83,41,5.14,PE,1699394438
208,utrik,11.2278,169.8474,27.83,80,100,10.45,MH,1699394583
209,rovaniemi,66.5,25.7167,0.67,100,100,3.6,FI,1699394584
210,mali,12.079,-12.2982,18.87,39,14,1.39,GN,1699394584
211,de aar,-30.6497,24.0123,18.28,28,24,3.4,ZA,1699394584
212,quellon,-43.1167,-73.6167,10.05,78,100,4.69,CL,1699394585
213,long beach,33.767,-118.1892,23.88,72,0,7.2,US,1699394564
214,alice springs,-23.7,133.8833,20.75,23,75,2.57,AU,1699394585
215,kilindoni,-7.9139,39.6668,25.92,79,1,3.25,TZ,1699394585
216,nuku'alofa,-21.1333,-175.2,27.19,78,75,5.14,TO,1699394586
217,fisterra,42.9049,-9.2629,13.19,85,100,9.61,ES,1699394586
218,fort mcmurray,56.7268,-111.381,3.77,81,100,1.54,CA,1699394586
219,kamyzyak,46.11,48.0736,8.99,81,0,5.0,RU,1699394587
220,banjarmasin,-3.3244,114.591,26.08,92,94,1.0,ID,1699394588
221,markovo,57.3206,107.0881,-10.2,92,100,2.32,RU,1699394588
222,farasan,16.7022,42.1183,30.44,61,90,1.52,SA,1699394589
223,cabo san lucas,22.8909,-109.9124,31.45,66,99,3.66,MX,1699394299
224,hamilton,39.1834,-84.5333,22.69,37,0,2.57,US,1699394551
225,port douglas,-16.4833,145.4667,24.53,80,84,4.44,AU,1699394590
226,katsuren-haebaru,26.3369,127.8719,21.01,88,20,2.06,JP,1699394500
227,sukuta,13.4103,-16.7082,26.01,89,0,0.0,GM,1699394590
228,nabire,-3.3667,135.4833,25.31,90,95,1.42,ID,1699394591
229,machico,32.7,-16.7667,19.35,66,20,4.12,PT,1699394591
230,calchaqui,-29.8877,-60.287,34.13,39,1,5.99,AR,1699394592
231,zheshart,62.0731,49.5733,3.49,99,100,2.6,RU,1699394592
232,connell,46.6635,-118.8611,15.38,67,89,1.79,US,1699394593
233,barah,13.7,30.3667,29.19,39,49,0.6,SD,1699394593
234,heunghae,36.1125,129.3522,6.72,46,0,1.65,KR,1699394594
235,box elder,41.5005,-112.8764,12.92,48,97,3.31,US,1699394594
236,broken hill,-31.95,141.4333,24.26,47,79,6.9,AU,1699394594
237,salinopolis,-0.6136,-47.3561,27.6,78,74,6.1,BR,1699394595
238,ar rahad,12.7167,30.65,29.3,46,95,2.82,SD,1699394596
239,crane,31.3974,-102.3501,30.69,18,0,2.66,US,1699394596
240,codrington,-38.2667,141.9667,13.25,91,63,3.01,AU,1699394596
241,solnechnyy,50.7214,136.6319,-7.21,91,100,1.78,RU,1699394598
242,pecos,31.4229,-103.4932,34.05,13,0,4.63,US,1699394599
243,mahina,-17.5065,-149.489,28.87,65,40,2.06,PF,1699394601
244,micheweni,-4.9667,39.8333,25.31,84,93,3.27,TZ,1699394604
245,greenwood,34.1668,-82.1165,25.45,46,0,3.09,US,1699394510
246,robore,-18.3333,-59.75,38.05,39,20,7.72,BO,1699394607
247,najran,17.4924,44.1277,21.36,39,78,4.69,SA,1699394607
248,eugene,44.0521,-123.0867,13.22,86,60,0.45,US,1699394446
249,chokwe,-24.5333,32.9833,22.82,78,100,5.37,MZ,1699394611
250,bel ombre,-4.6167,55.4167,25.91,89,20,0.51,SC,1699394613
251,patterson,37.4716,-121.1297,20.01,51,2,5.56,US,1699394546
252,mossel bay,-34.1831,22.146,14.96,69,93,1.31,ZA,1699394616
253,akureyri,65.6835,-18.0878,-6.04,86,75,0.0,IS,1699394616
254,keflavik,64.0049,-22.5624,4.24,70,0,8.75,IS,1699394617
